Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
def8b2da		ATL Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/atl_text_tag.rpy	1	"[what]"
bcfb2ad4		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags	game/atl_text_tag.rpy	1	"[what]"
749a3d28		kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/glitch_tag.rpy	1	"[what]"
bcfb2ad4_1		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags	game/glitch_tag.rpy	1	"[what]"
take_item_ccd1d2e5		Вы подобрали: [item[Name]].	game/inventory.rpy	101	"[what]"
take_item_fe5b0420		Я не могу взять этот предмет, потому что мой инвентарь полон.	game/inventory.rpy	103	"[what]"
take_item_247939be		У меня такой предмет уже есть в инвентаре.	game/inventory.rpy	105	"[what]"
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/kinetic_text_tags.rpy	1	"[what]"
start_34670718	player	Ааа, жутко болит голова!	game/script.rpy	7	player "[what]"
